Статья КоАП РФ;Часть;Вид правонарушения;Санкция
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 3.1;Повторное совершение административного правонарушения предусмотренного ч. 3;лишение прав на один год; при фиксации автоматическими средствами штраф 7500 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 4;Несоблюдение требований предписанных дорожными знаками или разметкой запрещающими остановку или стоянку транспортных средств;штраф 2250 руб.; задержание т/с помещение на спецстоянку
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 5;Нарушение предусмотренное ч. 4 совершенное в Москве или Санкт-Петербурге;штраф 4500 руб.; задержание т/с помещение на спецстоянку
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 6;Несоблюдение требований предписанных дорожными знаками запрещающими движение грузовых транспортных средств;штраф 5000 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 7;Нарушение предусмотренное ч. 6 совершенное в Москве или Санкт-Петербурге;штраф 7500 руб.
Статья 12.16 Несоблюдение требований предписанных дорожными знаками или разметкой проезжей части дороги;ч. 8;Повторное совершение административного правонарушения предусмотренного ч. 6 или 7;штраф 10 тыс. руб.
Статья 12.17 Непредоставление преимущества в движении маршрутному транспортному средству или транспортному средству с включенными специальными световыми и звуковыми сигналами;ч. 1;Непредоставление преимущества в движении маршрутному транспортному средству а равно транспортному средству с одновременно включенными проблесковым маячком синего цвета и специальным звуковым сигналом;предупреждение или штраф 500 руб.
Статья 12.17 Непредоставление преимущества в движении маршрутному транспортному средству или транспортному средству с включенными специальными световыми и звуковыми сигналами;ч. 1.1;Движение транспортных средств по полосе для маршрутных транспортных средств или остановка на указанной полосе в нарушение Правил дорожного движения;штраф 2250 руб.
Статья 12.17 Непредоставление преимущества в движении маршрутному транспортному средству или транспортному средству с включенными специальными световыми и звуковыми сигналами;ч. 1.2;Нарушение предусмотренное ч. 1.1 совершенное в Москве или Санкт-Петербурге;штраф 4500 руб.
Статья 12.17 Непредоставление преимущества в движении маршрутному транспортному средству или транспортному средству с включенными специальными световыми и звуковыми сигналами;ч. 2-3;Непредоставление преимущества в движении транспортному средству имеющему специальные цветографические схемы с одновременно включенными проблесковыми маячками и специальным звуковым сигналом;штраф 7500-10 000 руб. или лишение прав от 6 мес. до 1 года
Статья 12.18 Непредоставление преимущества в движении пешеходам или иным участникам дорожного движения;;Невыполнение требования Правил дорожного движения уступить дорогу пешеходам велосипедистам или иным участникам дорожного движения пользующимся преимуществом в движении;штраф 1500-2500 руб.
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 1;Нарушение правил остановки или стоянки транспортных средств за исключением случаев предусмотренных другими частями;предупреждение или штраф 500 руб.
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 2;Нарушение правил остановки или стоянки транспортных средств в местах отведенных для инвалидов;штраф 5000 руб.; задержание т/с помещение на спецстоянку
Статья 12.19 Нарушение правил остановки или стоянки транспортных средств;ч. 3;Остановка или стоянка транспортных средств на пешеходном переходе и ближе 5 метров перед ним либо нарушение правил остановки или стоянки на тротуаре;штраф 1000 руб.; задержание т/с помещение на спецстоянку
